
Timestamp,2024-06-05 16:36:32.145769
Model Name,LinearModel
Dataset,Adult
Objective,binary
number of features,14
Device,CPU
Number of CPUs,1
Number of GPUs,
Log Loss - mean,0.38452
Log Loss - std,0.00574
AUC - mean,0.85335
AUC - std,0.00449
Accuracy - mean,0.82439
Accuracy - std,0.00332
F1 score - mean,0.82439
F1 score - std,0.00332
Train time,0.220773
Test time,0.003861
Best Parameters,{}
Train energy,15430710.200000
Test energy,251317.800000

Timestamp,2024-06-05 16:36:34.104557
Model Name,LinearModel
Dataset,CaliforniaHousing
Objective,regression
number of features,8
Device,CPU
Number of CPUs,1
Number of GPUs,
MSE - mean,0.52853
MSE - std,0.01788
R2 - mean,0.60292
R2 - std,0.00885
Train time,0.003610
Test time,0.000295
Best Parameters,{}
Train energy,1963410.600000
Test energy,13305.800000

Timestamp,2024-06-05 16:36:34.283174
Model Name,KNN
Dataset,Adult
Objective,binary
number of features,14
Device,CPU
Number of CPUs,1
Number of GPUs,
Log Loss - mean,0.46394
Log Loss - std,0.01832
AUC - mean,0.86403
AUC - std,0.00464
Accuracy - mean,0.82507
Accuracy - std,0.00441
F1 score - mean,0.82507
F1 score - std,0.00441
Train time,0.026494
Test time,0.607514
Best Parameters,{'n_neighbors': 25}
Train energy,2001081.200000
Test energy,42353810.000000

Timestamp,2024-06-05 16:36:34.347029
Model Name,DecisionTree
Dataset,Adult
Objective,binary
number of features,14
Device,CPU
Number of CPUs,1
Number of GPUs,
Log Loss - mean,0.32117
Log Loss - std,0.01509
AUC - mean,0.91018
AUC - std,0.00466
Accuracy - mean,0.85673
Accuracy - std,0.00554
F1 score - mean,0.85673
F1 score - std,0.00554
Train time,0.602652
Test time,0.042117
Best Parameters,{'max_depth': 8}
Train energy,42907373.000000
Test energy,3002055.400000

Timestamp,2024-06-05 16:36:37.048075
Model Name,KNN
Dataset,CaliforniaHousing
Objective,regression
number of features,8
Device,CPU
Number of CPUs,1
Number of GPUs,
MSE - mean,0.42651
MSE - std,0.02049
R2 - mean,0.67971
R2 - std,0.00869
Train time,0.013508
Test time,0.164119
Best Parameters,{'n_neighbors': 11}
Train energy,963779.400000
Test energy,11409638.600000

Timestamp,2024-06-05 16:36:38.243312
Model Name,XGBoost
Dataset,Adult
Objective,binary
number of features,14
Device,CPU
Number of CPUs,1
Number of GPUs,
Log Loss - mean,0.49846
Log Loss - std,0.00107
AUC - mean,0.88848
AUC - std,0.00497
Accuracy - mean,0.75919
Accuracy - std,0.00005
F1 score - mean,0.75919
F1 score - std,0.00005
Train time,0.056320
Test time,0.005637
Best Parameters,"{'max_depth': 5, 'lambda': 0.354, 'alpha': 0.132, 'eta': 0.054, 'verbosity': 1, 'nthread': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc'}"
Train energy,4640063.800000
Test energy,387486.800000

Timestamp,2024-06-05 16:36:38.358891
Model Name,LightGBM
Dataset,Adult
Objective,binary
