iter	RMSE
0	107640.2144
1	100649.2433
2	95160.51806
3	90213.02631
4	86264.8702
5	82361.89759
6	79379.73891
7	76130.25174
8	73360.91243
9	71151.5389
10	69051.22672
11	67393.05704
12	65902.64497
13	64555.73483
14	63129.71576
15	61922.19801
16	61086.70938
17	60329.01375
18	59440.5405
19	58518.17703
20	57874.60588
21	57259.51532
22	56678.73682
23	56134.7157
24	55670.63324
25	55245.95408
26	54838.97275
27	54515.75148
28	54128.80892
29	53782.8144
30	53462.0511
31	53120.08325
32	52822.0592
33	52498.50034
34	52219.09996
35	52017.11117
36	51791.13422
37	51555.61069
38	51316.08018
39	51082.79108
40	50848.43918
41	50584.45737
42	50368.74747
43	50182.66078
44	49989.13145
45	49850.86367
46	49695.43943
47	49540.90388
48	49358.85823
49	49201.22678
50	49047.9813
51	48918.72021
52	48791.01473
53	48672.82081
54	48530.87781
55	48356.50982
56	48147.43235
57	47970.77181
58	47841.99899
59	47741.96247
60	47547.29921
61	47434.38229
62	47298.71176
63	47208.33275
64	47105.45491
65	46995.47349
66	46878.42203
67	46795.97522
68	46689.25235
69	46570.18854
70	46465.35576
71	46354.22287
72	46254.9309
73	46136.15285
74	46053.35708
75	45950.75051
76	45854.02825
77	45734.09421
78	45634.65167
79	45550.68758
80	45436.9457
81	45202.57589
82	45104.269
83	45016.52911
84	44877.08221
85	44805.54984
86	44753.70693
87	44614.81909
88	44533.14532
89	44425.00885
90	44291.34184
91	44213.89066
92	44128.7409
93	44008.1816
94	43928.44706
95	43847.20012
96	43766.80544
97	43683.72059
98	43622.96531
99	43498.65138
100	43366.28162
101	43303.1644
102	43230.43208
103	43202.9076
104	43168.32974
105	43077.95545
106	43011.65137
107	42965.47855
108	42867.55863
109	42853.59193
110	42832.73181
111	42799.90881
112	42716.55053
113	42655.23851
114	42570.74261
115	42559.0722
116	42544.39836
117	42455.73318
118	42410.5434
119	42347.47494
120	42298.36474
121	42275.15806
122	42225.48492
123	42170.49831
124	42114.00703
125	42032.31046
126	42010.71098
127	41935.8343
128	41912.28562
129	41892.50637
130	41876.94565
131	41798.14783
132	41714.98078
133	41614.1121
134	41593.20355
135	41483.4937
136	41403.25523
137	41380.09343
138	41310.38643
139	41256.55131
140	41237.0109
141	41163.2527
142	41140.25677
143	41074.01196
144	41029.93372
145	40944.31016
146	40877.22138
147	40840.20679
148	40757.55211
149	40725.7188
150	40704.8431
151	40623.67832
152	40527.46515
153	40501.89532
154	40435.00062
155	40370.78584
156	40310.60736
157	40295.26653
158	40235.22943
159	40104.81112
160	40080.70074
161	40038.9835
162	39997.98072
163	39924.54284
164	39852.89258
165	39843.05501
166	39795.30389
167	39740.62193
168	39682.31501
169	39658.54744
170	39645.50672
171	39631.83241
172	39613.93289
173	39564.77788
174	39552.39306
175	39541.76376
176	39502.2182
177	39489.89873
178	39429.05511
179	39367.63511
180	39316.52297
181	39306.68182
182	39269.351
183	39215.9525
184	39133.49297
185	39116.78379
186	39106.70885
187	39054.40671
188	38990.60439
189	38912.02211
190	38838.90244
191	38770.96648
192	38722.51525
193	38669.47124
194	38629.58767
195	38579.91534
196	38528.51268
197	38497.80845
198	38432.48636
199	38387.86719
200	38372.65228
201	38322.63146
202	38319.60973
203	38269.99032
204	38225.07807
205	38178.56958
206	38140.3562
207	38107.77502
208	38057.86062
209	37963.50361
210	37956.25472
211	37902.80118
212	37849.0961
213	37806.5435
214	37755.06619
215	37720.47348
216	37684.71289
217	37656.56342
218	37642.8262
219	37596.03303
220	37555.50846
221	37518.94635
222	37411.61779
223	37362.33511
224	37329.37196
225	37281.26626
226	37247.48519
227	37202.71888
228	37141.35125
229	37110.13228
230	37048.46011
231	37026.26646
232	36985.39839
233	36965.62579
234	36914.2487
235	36881.79857
236	36866.37814
237	36830.52064
238	36771.73439
239	36731.0989
240	36692.11993
241	36631.08086
242	36621.59297
243	36588.66116
244	36574.45558
245	36542.0308
246	36518.76947
247	36505.24463
248	36452.43248
249	36422.51852
250	36368.3179
251	36335.90314
252	36270.55311
253	36249.18992
254	36217.53047
255	36199.61592
256	36161.96916
257	36126.83112
258	36105.95254
259	36099.64287
260	36064.49601
261	36047.47513
262	36013.24535
263	35968.30825
264	35949.43044
265	35895.84748
266	35890.40488
267	35845.93505
268	35793.49686
269	35765.28453
270	35743.32234
271	35710.06467
272	35684.04294
273	35669.99349
274	35606.82111
275	35567.16189
276	35526.5056
277	35508.89511
278	35468.29572
279	35456.75567
280	35397.29641
281	35383.56911
282	35356.13025
283	35310.42256
284	35279.78278
285	35255.64356
286	35249.37745
287	35191.27641
288	35133.74099
289	35127.93345
290	35103.92002
291	35075.40643
292	35044.22359
293	35016.30186
294	35007.13725
295	34982.33308
296	34972.21351
297	34925.12313
298	34856.33706
299	34833.18031
300	34777.57176
301	34767.50676
302	34736.33789
303	34727.01842
304	34683.73404
305	34643.8151
306	34611.8158
307	34573.41276
308	34566.63364
309	34557.51609
310	34525.19246
311	34515.21363
312	34502.80802
313	34468.84342
314	34457.33771
315	34417.08166
316	34379.13552
317	34345.80405
318	34320.13039
319	34282.38925
320	34251.67612
321	34204.14382
322	34170.33029
323	34157.6012
324	34128.82312
325	34098.15522
326	34071.75333
327	34043.56729
328	34037.69633
329	34015.98664
330	33984.37929
331	33976.45799
332	33940.90278
333	33896.87902
334	33850.59201
335	33815.20133
336	33772.19462
337	33762.06801
338	33738.57653
339	33698.06966
340	33689.95568
341	33679.5938
342	33660.34798
343	33652.82034
344	33641.45631
345	33617.6276
346	33599.21782
347	33566.82098
348	33523.91417
349	33476.30831
350	33445.56334
351	33427.97552
352	33383.79409
353	33360.5063
354	33342.23474
355	33320.58834
356	33274.65205
357	33235.93646
