iter	Passed	Remaining
0	27	27096
1	34	17277
2	61	20435
3	88	21996
4	114	22876
5	141	23445
6	167	23800
7	193	23949
8	219	24123
9	243	24153
10	270	24289
11	296	24440
12	323	24536
13	349	24584
14	375	24636
15	401	24702
16	428	24765
17	454	24786
18	480	24801
19	506	24827
20	532	24847
21	559	24878
22	586	24921
23	612	24899
24	637	24866
25	663	24851
26	688	24823
27	714	24817
28	740	24810
29	766	24780
30	792	24782
31	819	24781
32	845	24788
33	871	24753
34	896	24721
35	923	24722
36	949	24716
37	975	24702
38	1002	24692
39	1028	24675
40	1054	24667
41	1080	24655
42	1106	24620
43	1132	24609
44	1159	24597
45	1185	24587
46	1211	24556
47	1237	24540
48	1262	24498
49	1288	24489
50	1315	24471
51	1341	24450
52	1367	24440
53	1394	24424
54	1419	24393
55	1444	24357
56	1470	24329
57	1496	24301
58	1521	24270
59	1547	24249
60	1573	24226
61	1598	24187
62	1623	24153
63	1649	24117
64	1673	24078
65	1699	24047
66	1724	24021
67	1750	23992
68	1775	23957
69	1801	23933
70	1826	23902
71	1852	23871
72	1877	23845
73	1904	23827
74	1929	23795
75	1956	23788
76	1982	23760
77	2007	23732
78	2034	23719
79	2061	23703
80	2087	23679
81	2112	23649
82	2138	23628
83	2164	23600
84	2188	23562
85	2214	23534
86	2239	23497
87	2264	23471
88	2290	23444
89	2316	23419
90	2342	23399
91	2368	23379
92	2394	23356
93	2421	23334
94	2446	23303
95	2471	23270
96	2496	23242
97	2523	23221
98	2548	23190
99	2574	23166
100	2599	23141
101	2625	23112
102	2650	23084
103	2677	23067
104	2703	23044
105	2728	23014
106	2754	22984
107	2780	22960
108	2805	22934
109	2830	22905
110	2855	22872
111	2881	22845
112	2906	22816
113	2932	22791
114	2958	22768
115	2984	22746
116	3010	22721
117	3037	22701
118	3063	22678
119	3089	22653
120	3114	22626
121	3139	22594
122	3166	22574
123	3192	22553
124	3218	22529
125	3244	22508
126	3270	22478
127	3295	22453
128	3320	22422
129	3346	22397
130	3372	22372
131	3398	22349
132	3424	22323
133	3450	22300
134	3475	22270
135	3501	22246
136	3527	22220
137	3553	22196
138	3580	22176
139	3606	22155
140	3632	22128
141	3658	22102
142	3682	22072
143	3708	22047
144	3734	22019
145	3760	21997
146	3786	21970
147	3812	21947
148	3837	21917
149	3863	21891
150	3888	21865
151	3914	21837
152	3940	21812
153	3965	21786
154	3992	21765
155	4019	21744
156	4046	21725
157	4071	21696
158	4096	21666
159	4122	21644
160	4149	21622
161	4175	21596
162	4201	21575
163	4227	21548
164	4253	21523
165	4279	21499
166	4305	21475
167	4331	21452
168	4357	21427
169	4382	21398
170	4408	21371
171	4433	21344
172	4459	21317
173	4485	21292
174	4511	21266
175	4536	21239
176	4563	21218
177	4588	21187
178	4613	21160
179	4639	21137
180	4666	21114
181	4692	21089
182	4718	21064
183	4743	21035
184	4769	21011
185	4795	20986
186	4821	20961
187	4846	20932
188	4871	20905
189	4897	20876
190	4921	20846
191	4946	20816
192	4973	20794
193	4998	20767
194	5024	20743
195	5051	20720
196	5077	20694
197	5102	20666
198	5128	20643
199	5153	20615
200	5179	20588
201	5204	20558
202	5229	20532
203	5255	20506
204	5280	20479
205	5307	20457
206	5332	20430
207	5359	20405
208	5385	20383
209	5411	20359
210	5438	20335
211	5464	20311
212	5490	20286
213	5516	20259
214	5541	20234
215	5568	20211
216	5594	20185
217	5619	20157
218	5645	20132
219	5670	20104
220	5696	20080
221	5723	20059
222	5750	20037
223	5775	20007
224	5801	19982
225	5827	19957
226	5853	19933
227	5879	19908
228	5905	19884
229	5932	19860
230	5959	19838
231	5984	19810
232	6009	19783
233	6035	19756
234	6059	19726
235	6085	19699
236	6111	19675
237	6137	19649
238	6162	19623
239	6188	19597
240	6215	19574
241	6241	19551
242	6267	19524
243	6293	19498
244	6319	19473
245	6345	19448
246	6371	19422
247	6397	19399
248	6424	19375
249	6449	19349
250	6475	19322
251	6501	19298
252	6527	19273
253	6553	19248
254	6578	19220
255	6604	19194
256	6630	19170
257	6656	19143
258	6681	19116
259	6706	19088
260	6732	19062
261	6757	19034
262	6783	19009
263	6809	18983
264	6834	18956
265	6861	18933
266	6886	18904
267	6911	18877
268	6936	18850
269	6961	18820
270	6986	18793
271	7012	18770
272	7039	18745
273	7065	18722
274	7091	18695
275	7117	18670
276	7142	18642
277	7168	18617
278	7194	18592
279	7220	18567
280	7246	18542
281	7272	18515
282	7298	18492
283	7325	18467
284	7351	18442
285	7377	18419
286	7403	18392
287	7428	18365
288	7454	18339
289	7479	18312
290	7505	18285
291	7530	18259
292	7555	18232
293	7580	18204
294	7605	18175
295	7630	18148
296	7655	18121
297	7682	18096
298	7707	18071
299	7734	18046
300	7760	18021
301	7785	17994
302	7810	17967
303	7836	17940
304	7862	17915
305	7887	17888
306	7913	17863
307	7938	17835
308	7963	17809
309	7990	17784
310	8016	17760
311	8041	17732
312	8067	17707
313	8093	17681
314	8119	17657
315	8145	17632
316	8172	17608
317	8198	17581
318	8224	17556
319	8250	17531
320	8276	17507
321	8302	17481
322	8328	17456
323	8352	17427
324	8377	17399
325	8403	17375
326	8429	17349
327	8456	17325
328	8482	17299
329	8507	17273
330	8533	17247
331	8559	17222
332	8585	17197
333	8612	17172
334	8637	17146
335	8662	17119
336	8688	17093
337	8714	17067
338	8739	17040
339	8764	17014
340	8790	16988
341	8816	16963
342	8842	16937
343	8867	16910
344	8892	16883
345	8919	16858
346	8945	16833
347	8970	16807
348	8996	16781
349	9021	16754
350	9047	16729
351	9073	16704
352	9100	16679
353	9125	16652
354	9150	16625
355	9175	16598
356	9202	16574
357	9227	16547
358	9254	16523
359	9279	16496
360	9304	16469
361	9330	16445
362	9356	16419
363	9383	16394
364	9409	16369
365	9435	16343
366	9461	16318
367	9487	16293
368	9513	16267
369	9539	16243
370	9565	16218
371	9590	16190
372	9616	16164
373	9642	16139
374	9668	16114
375	9694	16088
376	9719	16060
377	9745	16036
378	9771	16011
379	9797	15985
380	9823	15960
381	9849	15933
382	9875	15908
383	9901	15883
384	9927	15858
385	9954	15834
386	9981	15810
387	10006	15783
388	10032	15757
389	10057	15731
390	10082	15704
391	10109	15679
392	10135	15654
393	10161	15629
394	10188	15604
